degree	word	coefficient
9	YXYYXYXYY	-1/5040
9	YXYYXYYXX	1/10080
9	YXYYXYYXY	-1/5040
9	YXYYXYYYY	-1/10080
9	YXYYYXXXX	-1/60480
9	YXYYYXXXY	1/7560
9	YXYYYXYXY	1/2520
9	YXYYYXYYY	1/7560
9	YXYYYYXXX	-1/60480
9	YXYYYYXXY	-1/10080
9	YXYYYYXYX	-1/10080
9	YXYYYYXYY	-1/10080
9	YXYYYYYXX	1/33600
9	YXYYYYYXY	1/12600
9	YXYYYYYYX	-1/43200
9	YXYYYYYYY	1/151200
9	YYXXXXXXX	1/151200
9	YYXXXXXXY	-1/43200
9	YYXXXXXYX	1/33600
9	YYXXXXXYY	1/33600
9	YYXXXXYXX	1/40320
9	YYXXXXYXY	-1/10080
9	YYXXXXYYX	1/40320
9	YYXXXXYYY	-1/60480
9	YYXXXYXXX	-1/30240
9	YYXXXYYXX	-1/20160
9	YYXXXYYYX	-1/30240
9	YYXXXYYYY	-1/60480
9	YYXXYXXXX	1/40320
9	YYXXYXXYX	1/10080
9	YYXXYXXYY	1/10080
9	YYXXYXYXX	1/10080
9	YYXXYXYXY	-1/5040
9	YYXXYXYYX	1/10080
9	YYXXYYXXX	-1/20160
9	YYXXYYXXY	1/10080
9	YYXXYYXYX	1/10080
9	YYXXYYXYY	1/10080
9	YYXXYYYXX	-1/20160
9	YYXXYYYYX	1/40320
9	YYXXYYYYY	1/33600
9	YYXYXXXXX	1/33600
9	YYXYXXXXY	-1/10080
9	YYXYXXYXX	1/10080
9	YYXYXXYXY	-1/5040
9	YYXYXXYYX	1/10080
9	YYXYXYXXY	-1/5040
9	YYXYXYXYX	-1/5040
9	YYXYXYXYY	-1/5040
9	YYXYXYYXX	1/10080
9	YYXYXYYXY	-1/5040
9	YYXYXYYYY	-1/10080
9	YYXYYXXXX	1/40320
9	YYXYYXXYX	1/10080
9	YYXYYXXYY	1/10080
9	YYXYYXYXX	1/10080
9	YYXYYXYXY	-1/5040
9	YYXYYXYYX	1/10080
9	YYXYYYXXX	-1/30240
9	YYXYYYYXX	1/40320
9	YYXYYYYXY	-1/10080
9	YYXYYYYYX	1/33600
9	YYXYYYYYY	-1/43200
